Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_MRP,Outlet_Identifier,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Outlet_Years,Item_Type_Combined,Item_Visibility_MeanRatio,Outlet
FDA15,9.3,0,0.016047301,249.8092,OUT049,1,0,1,3735.138,14,1,0.9310779543761083,9
DRC01,5.92,2,0.019278216,48.2692,OUT018,1,2,2,443.4228,4,0,0.9334195208758378,3
FDN15,17.5,0,0.016760075,141.618,OUT049,1,0,1,2097.27,14,1,0.9600687539048446,9
FDX07,19.2,2,0.017834337888888892,182.095,OUT010,2,2,0,732.38,15,1,1.0,0
NCD19,8.93,1,0.009779828555555557,53.8614,OUT013,0,2,1,994.7052,26,2,1.0,1
FDP36,10.395,2,0.057058688875,51.4008,OUT018,1,2,2,556.6088,4,1,1.0,3
FDO10,13.65,2,0.012741088999999999,57.6588,OUT013,0,2,1,343.5528,26,1,1.4971974776517427,1
FDP10,19.0,0,0.127469857,107.7622,OUT027,1,2,3,4022.7636,28,1,0.8704928816397633,5
FDH17,16.2,2,0.016687114,96.9726,OUT045,2,1,1,1076.5986,11,1,0.9241603619293527,7
FDU28,19.2,2,0.09444959,187.8214,OUT017,2,1,1,4710.535,6,1,0.9639830398302507,2
FDY07,11.8,0,0.040626524444444444,45.5402,OUT049,1,0,1,1516.0266,14,1,1.0,9
FDA03,18.5,2,0.045463773,144.1102,OUT046,2,0,1,2187.153,16,1,1.0366952071584155,8
FDX32,15.1,2,0.1000135,145.4786,OUT049,1,0,1,1589.2646,14,1,1.026359813124039,9
FDS46,17.6,2,0.047257328,119.6782,OUT046,2,0,1,2145.2076,16,1,0.922289906298101,8
FDF32,16.35,0,0.06802430000000001,196.4426,OUT013,0,2,1,1977.4260000000002,26,1,1.1713313653743493,1
FDP49,9.0,2,0.06908896099999999,56.3614,OUT046,2,0,1,1547.3192,16,1,1.0280725124413592,8
NCB42,11.8,1,0.008596051,115.3492,OUT018,1,2,2,1621.8888,4,2,1.0031395479206202,3
FDP49,9.0,2,0.06919637599999999,54.3614,OUT049,1,0,1,718.3982,14,1,1.0296708923753675,9
DRI11,8.26,0,0.034237682,113.2834,OUT027,1,2,3,2303.6679999999997,28,0,0.8704928693111866,5
FDU02,13.35,0,0.10249212,230.5352,OUT035,2,1,1,2748.4224,9,1,0.922115518306462,6
FDN22,18.85,2,0.138190277,250.8724,OUT013,0,2,1,3775.086,26,1,1.1399044941112717,1
FDW12,8.315,2,0.035399923,144.5444,OUT027,1,2,3,4064.0432,28,1,0.9543090781180374,5
NCB30,14.6,1,0.025698133999999997,196.5084,OUT035,2,1,1,1587.2672,9,2,0.8628943947372766,6
FDC37,15.5,0,0.057556998,107.6938,OUT019,2,0,0,214.3876,28,1,1.5315371875133978,4
FDR28,13.85,2,0.025896485,165.021,OUT046,2,0,1,4078.025,16,1,0.9296326154440038,8
NCD06,13.0,1,0.099887103,45.906000000000006,OUT017,2,1,1,838.908,6,2,0.9275067672165533,2
FDV10,7.645,2,0.06669343700000001,42.3112,OUT035,2,1,1,1065.28,9,1,1.0602351029427202,6
DRJ59,11.65,0,0.019356131999999998,39.1164,OUT013,0,2,1,308.9312,26,0,1.035277578029896,1
FDE51,5.925,2,0.161466534,45.5086,OUT010,2,2,0,178.4344,15,1,1.4445814400022103,0
FDC14,14.5,2,0.072221801,43.6454,OUT019,2,0,0,125.8362,28,1,1.679002681283213,4
FDV38,19.25,0,0.17034855100000001,55.7956,OUT010,2,2,0,163.7868,15,1,1.4641166675359907,0
NCS17,18.6,1,0.080829372,96.4436,OUT018,1,2,2,2741.7644,4,2,1.0031395405819457,3
FDP33,18.7,0,0.0930934742,256.6672,OUT018,1,2,2,3068.0064,4,1,1.0,3
FDO23,17.85,0,0.14246229066666669,93.1436,OUT045,2,1,1,2174.5028,11,1,1.0,7
DRH01,17.5,0,0.097904029,174.8738,OUT046,2,0,1,2085.2856,16,0,0.9222899199987084,8
NCX29,10.0,1,0.08929113699999999,146.7102,OUT049,1,0,1,3791.0652,14,2,0.8760887635003263,9
FDV20,20.2,2,0.059511812000000004,128.0678,OUT027,1,2,3,2797.6916,28,1,0.9544539631769144,5
DRZ11,8.85,2,0.113123893,122.5388,OUT018,1,2,2,1609.9044,4,0,1.003139534910143,3
FDX10,6.384999999999999,2,0.12311145300000001,36.9874,OUT027,1,2,3,388.1614,28,1,1.0227997426879307,5
FDB34,15.25,0,0.026480953999999998,87.6198,OUT027,1,2,3,2180.495,28,1,0.9251308290764401,5
FDU02,13.35,0,0.102511504,230.6352,OUT046,2,0,1,3435.528,16,1,0.9222899150035627,8
FDK43,9.8,0,0.02681843,126.00200000000001,OUT013,0,2,1,2150.534,26,1,0.9215224160526706,1
FDA46,13.6,0,0.117818348,192.9136,OUT049,1,0,1,2527.3768,14,1,0.9310779364692868,9
FDC02,21.35,0,0.06910283099999999,259.9278,OUT018,1,2,2,6768.5228,4,1,0.9334195377024116,3
FDL50,12.15,2,0.042277867000000004,126.5046,OUT013,0,2,1,373.5138,26,1,0.9980787902561443,1
FDM39,6.42,0,0.08949892599999999,178.1002,OUT010,2,2,0,358.2004,15,1,1.464116667660315,0
NCP05,19.6,1,0.018756953777777776,153.3024,OUT045,2,1,1,2428.8384,11,2,1.0,7
FDV49,10.0,0,0.025879577,265.2226,OUT045,2,1,1,5815.0972,11,1,0.9241603460120508,7
FDL12,15.85,2,0.121632721,60.622,OUT046,2,0,1,2576.646,16,1,0.8747287915078714,8
FDS02,10.195000000000002,2,0.25539489600000004,196.8794,OUT019,2,0,0,780.3176,28,1,2.0308877247907904,4
NCL17,7.39,1,0.067779712,143.8812,OUT046,2,0,1,3134.5864,16,2,0.8747287887220742,8
FDM40,10.195,0,0.159803853,141.5154,OUT013,0,2,1,850.8924,26,1,1.0365304276483922,1
FDR13,9.895,2,0.028696932,117.0492,OUT013,0,2,1,810.9444,26,1,0.8740008759338731,1
FDA43,10.895,0,0.065041581,196.3794,OUT017,2,1,1,3121.2704,6,1,0.8796766099576357,2
NCP18,12.15,1,0.028760012999999997,151.4708,OUT017,2,1,1,4815.0656,6,2,0.9275067647960544,2
FDK21,7.905,0,0.010053105,249.0408,OUT018,1,2,2,6258.52,4,1,0.9334195624341675,3
NCX54,9.195,1,0.048157338,106.1622,OUT045,2,1,1,2117.244,11,2,0.9315179298292239,7
DRK35,8.365,0,0.071958197,38.0506,OUT049,1,0,1,796.9626,14,0,0.8760887617519185,9
FDY21,15.1,0,0.17348130399999998,194.511,OUT046,2,0,1,4910.275,16,1,1.1416630232284466,8
FDI26,5.9399999999999995,0,0.061082177,180.0344,OUT019,2,0,0,892.172,28,1,1.61481058875214,4
FDM20,10.0,0,0.0364918673,246.9144,OUT018,1,2,2,3185.1872,4,1,1.0,3
FDV27,7.97,2,0.040071131,87.3514,OUT045,2,1,1,1062.6168,11,1,0.8503936434710149,7
FDF09,6.215,0,0.012090074,38.2848,OUT027,1,2,3,484.7024,28,1,0.9251308536486637,5
FDY40,15.5,2,0.15028599,51.0692,OUT019,2,0,0,147.8076,28,1,1.8569920498948196,4
FDY45,17.5,0,0.026015518999999997,255.8356,OUT027,1,2,3,2543.356,28,1,1.1658562566726927,5
FDC46,17.7,0,0.195068226,185.4266,OUT010,2,2,0,184.4266,15,1,1.5560143953260468,0
FDH19,19.35,0,0.033082215,172.5738,OUT035,2,1,1,4865.6664,9,1,0.9221155127052099,6
FDZ03,13.65,2,0.078946455,186.024,OUT045,2,1,1,1118.5439999999999,11,1,1.044138187445984,7
DRH37,17.6,0,0.041700756,164.8526,OUT045,2,1,1,2302.3364,11,0,0.8765027640696678,7
NCI17,8.645,1,0.14342264300000002,95.84100000000001,OUT046,2,0,1,2027.361,16,2,1.0277767942566969,8
FDJ58,15.6,2,0.10529607199999999,170.1764,OUT046,2,0,1,3435.528,16,1,0.8747287875118142,8
FDL12,15.85,2,0.121531501,59.222,OUT013,0,2,1,599.22,26,1,0.8740008619873568,1
FDH35,18.25,0,0.05810121044444445,164.7526,OUT045,2,1,1,4604.6728,11,1,1.0,7
FDG02,7.855,0,0.011324862,189.6188,OUT017,2,1,1,2285.0256,6,1,0.9275067286121007,2
NCZ18,7.825,1,0.186357148,254.3698,OUT049,1,0,1,5580.7356,14,2,1.029857103248895,9
FDC29,8.39,2,0.024205661,114.0176,OUT046,2,0,1,2290.3520000000003,16,1,0.9990697616442725,8
FDQ10,12.85,0,0.033230816,172.3422,OUT049,1,0,1,1207.0954,14,1,0.9237238339071363,9
FDN48,13.349999999999998,0,0.113720344,89.9804,OUT019,2,0,0,643.1628,28,1,1.5315372016230429,4
FDL04,19.0,0,0.11255650699999999,104.9622,OUT017,2,1,1,1587.933,6,1,0.9275067671896534,2
FDV25,5.905,0,0.04441604033333333,222.5456,OUT045,2,1,1,5305.0944,11,1,1.0,7
FDD58,7.76,0,0.05935224099999999,101.87,OUT046,2,0,1,1697.79,16,1,0.8747287866525946,8
FDN04,11.8,2,0.014087057,180.3344,OUT046,2,0,1,1427.4752,16,1,1.1416114694007558,8
FDV45,16.75,0,0.045230944,187.9556,OUT018,1,2,2,4693.89,4,1,0.9260469457443702,3
NCL18,18.849999999999998,1,0.293417759,194.6136,OUT019,2,0,0,583.2408,28,2,1.6148105893820424,4
FDR12,12.599999999999998,2,0.031382044,171.3764,OUT027,1,2,3,3091.9752,28,1,0.8704928746102873,5
FDG20,15.5,2,0.12639886,177.0028,OUT017,2,1,1,2479.4392,6,1,0.9348909885210056,2
FDZ55,6.055,0,0.025403897999999998,160.99200000000002,OUT035,2,1,1,2716.4640000000004,9,1,0.9988808402357965,6
FDQ49,20.2,2,0.039057677,155.963,OUT027,1,2,3,3285.723,28,1,0.9541219242227013,5
FDN33,6.305,2,0.123115764,95.6436,OUT046,2,0,1,661.8052,16,1,0.9990697475981462,8
FDN27,20.85,0,0.039624006,117.2808,OUT049,1,0,1,1523.3504,14,1,1.163307491313076,9
FDW20,20.75,0,0.040421193,122.17299999999999,OUT010,2,2,0,369.519,15,1,1.7352530512933784,0
